t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
1.2327,79,0,-84.3490,-129.8419,221.1805,-0.0395,0.0009,-0.0963,0.9946,2047.0000,2047.0000,2047.0000,,,,
1.2439,79,0,-83.7339,-129.4914,222.1359,-0.0462,-0.0000,-0.0953,0.9944,2047.0000,2047.0000,2047.0000,,,,
1.2549,79,0,-83.7339,-129.4914,222.1359,-0.0462,-0.0000,-0.0953,0.9944,2047.0000,2047.0000,2047.0000,,,,
1.2674,79,0,-83.7339,-129.4914,222.1359,-0.0462,-0.0000,-0.0953,0.9944,2047.0000,2047.0000,2047.0000,,,,
1.2795,79,0,-83.7339,-129.4914,222.1359,-0.0462,-0.0000,-0.0953,0.9944,2047.0000,2047.0000,2047.0000,,,,
1.2882,79,0,-83.7339,-129.4914,222.1359,-0.0462,-0.0000,-0.0953,0.9944,2047.0000,2047.0000,2047.0000,,,,
1.2990,79,0,-82.7112,-128.5641,222.0233,-0.0432,0.0009,-0.0954,0.9945,2047.0000,2047.0000,2047.0000,,,,
1.3115,79,0,-82.7112,-128.5641,222.0233,-0.0432,0.0009,-0.0954,0.9945,2047.0000,2047.0000,2047.0000,,,,
1.3227,79,0,-82.7112,-128.5641,222.0233,-0.0432,0.0009,-0.0954,0.9945,2047.0000,2047.0000,2047.0000,,,,
1.3353,79,0,-82.7112,-128.5641,222.0233,-0.0432,0.0009,-0.0954,0.9945,2047.0000,2047.0000,2047.0000,,,,
1.3485,79,0,-81.9596,-125.6596,224.7451,-0.0532,0.0037,-0.0967,0.9939,2047.0000,2047.0000,2047.0000,,,,
1.3579,79,0,-81.9596,-125.6596,224.7451,-0.0532,0.0037,-0.0967,0.9939,2047.0000,2047.0000,2047.0000,,,,
1.3667,79,0,-81.9596,-125.6596,224.7451,-0.0532,0.0037,-0.0967,0.9939,2047.0000,2047.0000,2047.0000,,,,
1.3792,79,0,-81.9596,-125.6596,224.7451,-0.0532,0.0037,-0.0967,0.9939,2047.0000,2047.0000,2047.0000,,,,
1.3915,79,0,-81.9596,-125.6596,224.7451,-0.0532,0.0037,-0.0967,0.9939,2047.0000,2047.0000,2047.0000,,,,
1.4036,79,0,-80.9656,-124.8751,225.0665,-0.0549,0.0063,-0.0974,0.9937,2047.0000,2047.0000,2047.0000,,,,
1.4157,79,0,-80.9656,-124.8751,225.0665,-0.0549,0.0063,-0.0974,0.9937,2047.0000,2047.0000,2047.0000,,,,
1.4239,79,0,-80.9656,-124.8751,225.0665,-0.0549,0.0063,-0.0974,0.9937,2047.0000,2047.0000,2047.0000,,,,
1.4347,79,0,-80.9656,-124.8751,225.0665,-0.0549,0.0063,-0.0974,0.9937,2047.0000,2047.0000,2047.0000,,,,
1.4472,79,0,-80.9656,-124.8751,225.0665,-0.0549,0.0063,-0.0974,0.9937,2047.0000,2047.0000,2047.0000,,,,
1.4601,79,0,-81.0006,-119.1714,228.1488,-0.0652,0.0122,-0.1049,0.9923,2047.0000,2047.0000,2047.0000,,,,
1.4716,79,0,-81.0006,-119.1714,228.1488,-0.0652,0.0122,-0.1049,0.9923,2047.0000,2047.0000,2047.0000,,,,
1.4796,79,0,-81.0006,-119.1714,228.1488,-0.0652,0.0122,-0.1049,0.9923,2047.0000,2047.0000,2047.0000,,,,
1.4918,79,0,-81.0006,-119.1714,228.1488,-0.0652,0.0122,-0.1049,0.9923,2047.0000,2047.0000,2047.0000,,,,
1.5034,79,0,-81.1665,-111.9034,230.0247,-0.0789,0.0120,-0.1124,0.9905,2047.0000,2047.0000,2047.0000,,,,
1.5156,79,0,-81.1665,-111.9034,230.0247,-0.0789,0.0120,-0.1124,0.9905,2047.0000,2047.0000,2047.0000,,,,
1.5271,79,0,-81.1665,-111.9034,230.0247,-0.0789,0.0120,-0.1124,0.9905,2047.0000,2047.0000,2047.0000,,,,
1.5392,79,0,-81.1665,-111.9034,230.0247,-0.0789,0.0120,-0.1124,0.9905,2047.0000,2047.0000,2047.0000,,,,
1.5481,79,0,-81.1665,-111.9034,230.0247,-0.0789,0.0120,-0.1124,0.9905,2047.0000,2047.0000,2047.0000,,,,
1.5601,79,0,-80.5526,-108.2613,230.8161,-0.0829,0.0170,-0.1169,0.9895,2047.0000,2047.0000,2047.0000,,,,
1.5715,79,0,-80.5526,-108.2613,230.8161,-0.0829,0.0170,-0.1169,0.9895,2047.0000,2047.0000,2047.0000,,,,
1.5835,79,0,-80.5526,-108.2613,230.8161,-0.0829,0.0170,-0.1169,0.9895,2047.0000,2047.0000,2047.0000,,,,
1.5950,79,0,-80.5526,-108.2613,230.8161,-0.0829,0.0170,-0.1169,0.9895,2047.0000,2047.0000,2047.0000,,,,
1.6048,79,0,-77.8784,-105.2288,230.8152,-0.0897,0.0219,-0.1200,0.9885,2047.0000,2047.0000,2047.0000,,,,
1.6157,79,0,-77.8784,-105.2288,230.8152,-0.0897,0.0219,-0.1200,0.9885,2047.0000,2047.0000,2047.0000,,,,
1.6277,79,0,-77.8784,-105.2288,230.8152,-0.0897,0.0219,-0.1200,0.9885,2047.0000,2047.0000,2047.0000,,,,
1.6392,79,0,-77.8784,-105.2288,230.8152,-0.0897,0.0219,-0.1200,0.9885,2047.0000,2047.0000,2047.0000,,,,
1.6512,79,0,-77.8784,-105.2288,230.8152,-0.0897,0.0219,-0.1200,0.9885,2047.0000,2047.0000,2047.0000,,,,
