t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.7800,343,0,-42.5707,-19.0767,589.3279,-0.0588,0.0405,-0.0458,0.9964,1853.0000,1219.0000,1863.0000,,,,
0.7926,343,0,-42.5707,-19.0767,589.3279,-0.0588,0.0405,-0.0458,0.9964,1853.0000,1240.0000,1863.0000,,,,
0.8039,343,0,10.9166,-65.4376,853.5436,-0.3539,0.2500,0.0993,0.8958,1853.0000,1253.0000,1863.0000,,,,
0.8132,343,0,10.9166,-65.4376,853.5436,-0.3539,0.2500,0.0993,0.8958,1853.0000,1262.0000,1863.0000,,,,
0.8238,343,0,10.9166,-65.4376,853.5436,-0.3539,0.2500,0.0993,0.8958,1853.0000,1269.0000,1863.0000,,,,
0.8359,343,0,10.9166,-65.4376,853.5436,-0.3539,0.2500,0.0993,0.8958,1853.0000,1274.0000,1863.0000,,,,
0.8479,343,0,22.4701,-35.8713,763.4400,-0.2442,0.3245,0.0521,0.9123,1853.0000,1280.0000,1863.0000,,,,
0.8617,343,0,22.4701,-35.8713,763.4400,-0.2442,0.3245,0.0521,0.9123,1853.0000,1312.0000,1863.0000,,,,
0.8722,343,0,22.4701,-35.8713,763.4400,-0.2442,0.3245,0.0521,0.9123,1853.0000,1331.0000,1863.0000,,,,
0.8809,343,0,22.4701,-35.8713,763.4400,-0.2442,0.3245,0.0521,0.9123,1853.0000,1343.0000,1863.0000,,,,
0.8921,343,0,36.4325,-69.4411,836.0455,0.3771,0.4250,-0.1605,0.8071,1853.0000,1364.0000,1863.0000,,,,
0.9040,343,0,36.4325,-69.4411,836.0455,0.3771,0.4250,-0.1605,0.8071,1805.0000,1421.0000,1863.0000,,,,
0.9164,343,0,36.4325,-69.4411,836.0455,0.3771,0.4250,-0.1605,0.8071,1739.0000,1469.0000,1863.0000,,,,
0.9279,343,0,36.4325,-69.4411,836.0455,0.3771,0.4250,-0.1605,0.8071,1690.0000,1502.0000,1863.0000,,,,
0.9372,343,0,22.5091,-44.3063,663.6677,-0.1753,0.2319,0.0102,0.9568,1656.0000,1525.0000,1863.0000,,,,
0.9478,343,0,22.5091,-44.3063,663.6677,-0.1753,0.2319,0.0102,0.9568,1623.0000,1539.0000,1863.0000,,,,
0.9608,343,0,22.5091,-44.3063,663.6677,-0.1753,0.2319,0.0102,0.9568,1591.0000,1552.0000,1863.0000,,,,
0.9723,343,0,22.5091,-44.3063,663.6677,-0.1753,0.2319,0.0102,0.9568,1567.0000,1562.0000,1863.0000,,,,
0.9839,343,0,30.2494,-25.4098,618.7924,-0.2909,0.1542,-0.0216,0.9440,1546.0000,1569.0000,1863.0000,,,,
0.9957,343,0,30.2494,-25.4098,618.7924,-0.2909,0.1542,-0.0216,0.9440,1501.0000,1601.0000,1863.0000,,,,
1.0043,343,0,30.2494,-25.4098,618.7924,-0.2909,0.1542,-0.0216,0.9440,1478.0000,1618.0000,1863.0000,,,,
1.0164,343,0,30.2494,-25.4098,618.7924,-0.2909,0.1542,-0.0216,0.9440,1447.0000,1640.0000,1863.0000,,,,
1.0283,343,0,30.2494,-25.4098,618.7924,-0.2909,0.1542,-0.0216,0.9440,1421.0000,1657.0000,1863.0000,,,,
1.0410,343,0,236.7640,-119.7110,847.7139,0.4862,0.4083,-0.2500,0.7310,1394.0000,1675.0000,1863.0000,,,,
1.0517,343,0,236.7640,-119.7110,847.7139,0.4862,0.4083,-0.2500,0.7310,1360.0000,1705.0000,1863.0000,,,,
1.0638,343,0,236.7640,-119.7110,847.7139,0.4862,0.4083,-0.2500,0.7310,1330.0000,1729.0000,1863.0000,,,,
1.0723,343,0,236.7640,-119.7110,847.7139,0.4862,0.4083,-0.2500,0.7310,1310.0000,1744.0000,1863.0000,,,,
1.0852,343,0,30.2439,-30.7626,624.7180,-0.1479,0.2682,-0.0087,0.9519,1284.0000,1762.0000,1863.0000,,,,
1.0965,343,0,30.2439,-30.7626,624.7180,-0.1479,0.2682,-0.0087,0.9519,1258.0000,1776.0000,1863.0000,,,,
1.1077,343,0,30.2439,-30.7626,624.7180,-0.1479,0.2682,-0.0087,0.9519,1237.0000,1788.0000,1863.0000,,,,
1.1197,343,0,30.2439,-30.7626,624.7180,-0.1479,0.2682,-0.0087,0.9519,1217.0000,1798.0000,1863.0000,,,,
1.1294,343,0,78.6461,-90.7863,661.6630,0.5705,0.3863,-0.2439,0.6825,1205.0000,1803.0000,1863.0000,,,,
1.1405,343,0,78.6461,-90.7863,661.6630,0.5705,0.3863,-0.2439,0.6825,1184.0000,1821.0000,1863.0000,,,,
1.1516,343,0,78.6461,-90.7863,661.6630,0.5705,0.3863,-0.2439,0.6825,1163.0000,1838.0000,1863.0000,,,,
1.1640,343,0,78.6461,-90.7863,661.6630,0.5705,0.3863,-0.2439,0.6825,1146.0000,1849.0000,1863.0000,,,,
1.1767,343,0,78.6461,-90.7863,661.6630,0.5705,0.3863,-0.2439,0.6825,1126.0000,1863.0000,1863.0000,,,,
